,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_cls__init,param_cls__max_iter,param_cls__n_clusters,param_cls__n_init,param_cls__n_jobs,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
60,247.30265913009643,30.62763513154019,0.1716970443725586,0.00882970867158299,k-means++,1000,8,20,4,"{'cls__init': 'k-means++', 'cls__max_iter': 1000, 'cls__n_clusters': 8, 'cls__n_init': 20, 'cls__n_jobs': 4}",0.15583333333333332,0.24166666666666667,0.08583333333333333,0.10333333333333333,0.1175,0.14083333333333334,0.05544015792826632,54,0.14229166666666668,0.25104166666666666,0.081875,0.07958333333333334,0.10291666666666667,0.13154166666666667,0.06384614210045202
61,219.70996980667115,17.68226765856204,0.16634626388549806,0.006674739374584298,k-means++,1000,9,20,4,"{'cls__init': 'k-means++', 'cls__max_iter': 1000, 'cls__n_clusters': 9, 'cls__n_init': 20, 'cls__n_jobs': 4}",0.17333333333333334,0.07083333333333333,0.0425,0.10166666666666667,0.06333333333333334,0.09033333333333333,0.04563928619560614,88,0.20479166666666668,0.07166666666666667,0.05041666666666666,0.07729166666666666,0.07958333333333334,0.09675,0.05499504396862605
62,248.39473748207092,39.9468880082159,0.1750730037689209,0.008384011054610896,k-means++,1000,10,20,4,"{'cls__init': 'k-means++', 'cls__max_iter': 1000, 'cls__n_clusters': 10, 'cls__n_init': 20, 'cls__n_jobs': 4}",0.056666666666666664,0.06916666666666667,0.04083333333333333,0.03,0.17,0.07333333333333333,0.050147006114245975,112,0.06833333333333333,0.069375,0.04958333333333333,0.030416666666666668,0.198125,0.08316666666666667,0.05922171734723297
63,245.601593542099,14.238979179505277,0.1709805965423584,0.006903919772098916,k-means++,1000,11,20,4,"{'cls__init': 'k-means++', 'cls__max_iter': 1000, 'cls__n_clusters': 11, 'cls__n_init': 20, 'cls__n_jobs': 4}",0.05416666666666667,0.07166666666666667,0.1675,0.06833333333333333,0.053333333333333344,0.083,0.04288421102871727,100,0.06541666666666666,0.074375,0.18458333333333332,0.060208333333333336,0.06333333333333334,0.08958333333333332,0.04773316311654939
64,252.42591805458068,28.237486107383937,0.17708353996276854,0.001495360304810213,k-means++,1000,12,20,4,"{'cls__init': 'k-means++', 'cls__max_iter': 1000, 'cls__n_clusters': 12, 'cls__n_init': 20, 'cls__n_jobs': 4}",0.065,0.04583333333333333,0.06333333333333334,0.09666666666666666,0.0475,0.06366666666666666,0.018277186751673672,134,0.051875,0.04083333333333333,0.06520833333333333,0.07979166666666666,0.03729166666666667,0.05499999999999999,0.015766305492691965
65,241.82772016525269,14.469423681099698,0.17761049270629883,0.0036206270843621526,k-means++,1000,13,20,4,"{'cls__init': 'k-means++', 'cls__max_iter': 1000, 'cls__n_clusters': 13, 'cls__n_init': 20, 'cls__n_jobs': 4}",0.04083333333333333,0.035,0.023333333333333334,0.08416666666666667,0.01,0.03866666666666667,0.02508097995604549,172,0.05416666666666667,0.04145833333333333,0.029583333333333333,0.070625,0.017291666666666667,0.042625,0.018603408439196174
66,259.3052052021027,13.956110281348261,0.17820372581481933,0.007147705035324053,k-means++,1000,14,20,4,"{'cls__init': 'k-means++', 'cls__max_iter': 1000, 'cls__n_clusters': 14, 'cls__n_init': 20, 'cls__n_jobs': 4}",0.07166666666666667,0.0375,0.034166666666666665,0.06916666666666667,0.03166666666666667,0.04883333333333333,0.017737280262518015,153,0.056666666666666664,0.035625,0.04020833333333333,0.057291666666666664,0.03145833333333333,0.04425,0.010757426375403282
67,242.08351211547853,11.095163530969685,0.17343125343322754,0.007909846451551681,k-means++,1000,15,20,4,"{'cls__init': 'k-means++', 'cls__max_iter': 1000, 'cls__n_clusters': 15, 'cls__n_init': 20, 'cls__n_jobs': 4}",0.03666666666666667,0.0375,0.16916666666666666,0.06833333333333333,0.020833333333333332,0.0665,0.05359156235412022,126,0.0375,0.033125,0.16104166666666667,0.056666666666666664,0.026666666666666672,0.063,0.05003030331708973
68,240.05510296821595,16.594062750899784,0.17862348556518554,0.007592481432311783,k-means++,1000,16,20,4,"{'cls__init': 'k-means++', 'cls__max_iter': 1000, 'cls__n_clusters': 16, 'cls__n_init': 20, 'cls__n_jobs': 4}",0.03666666666666667,0.034166666666666665,0.026666666666666672,0.03166666666666667,0.0475,0.035333333333333335,0.006924192692613661,177,0.03791666666666667,0.03916666666666667,0.02375,0.030208333333333334,0.050625,0.036333333333333336,0.00906247605360821
69,260.12553720474244,16.798190155899363,0.17470893859863282,0.0036404483110063276,k-means++,1000,17,20,4,"{'cls__init': 'k-means++', 'cls__max_iter': 1000, 'cls__n_clusters': 17, 'cls__n_init': 20, 'cls__n_jobs': 4}",0.03666666666666667,0.19083333333333333,0.0475,0.058333333333333334,0.04583333333333333,0.07583333333333334,0.0579103713605008,109,0.03770833333333334,0.19166666666666668,0.05479166666666667,0.060833333333333336,0.04583333333333333,0.07816666666666668,0.05729119696777159
70,263.4881838798523,28.64532105320673,0.1758626937866211,0.006444974296150266,k-means++,1000,18,20,4,"{'cls__init': 'k-means++', 'cls__max_iter': 1000, 'cls__n_clusters': 18, 'cls__n_init': 20, 'cls__n_jobs': 4}",0.035,0.03166666666666667,0.0475,0.059166666666666666,0.055,0.04566666666666667,0.010793516572461451,161,0.0375,0.028958333333333332,0.05354166666666667,0.06145833333333333,0.04770833333333333,0.04583333333333333,0.011500301928403638
71,267.78665804862976,23.170869568503264,0.17903633117675782,0.004992299954081143,k-means++,1000,19,20,4,"{'cls__init': 'k-means++', 'cls__max_iter': 1000, 'cls__n_clusters': 19, 'cls__n_init': 20, 'cls__n_jobs': 4}",0.035,0.13416666666666666,0.043333333333333335,0.025833333333333333,0.034166666666666665,0.0545,0.04021677372551021,145,0.03729166666666667,0.13541666666666666,0.040625,0.029375,0.042708333333333334,0.05708333333333333,0.03942864511437789
72,210.79209084510802,17.087326872011612,0.16532726287841798,0.0045640268224732584,k-means++,10000,2,20,4,"{'cls__init': 'k-means++', 'cls__max_iter': 10000, 'cls__n_clusters': 2, 'cls__n_init': 20, 'cls__n_jobs': 4}",0.5158333333333334,0.4766666666666667,0.5208333333333334,0.4825,0.49166666666666664,0.4975,0.017740412120980247,4,0.5191666666666667,0.48583333333333334,0.5210416666666666,0.478125,0.48104166666666665,0.4970416666666666,0.018999908625511264
73,214.41071639060974,15.68373679758105,0.16515398025512695,0.010154114412431267,k-means++,10000,3,20,4,"{'cls__init': 'k-means++', 'cls__max_iter': 10000, 'cls__n_clusters': 3, 'cls__n_init': 20, 'cls__n_jobs': 4}",0.33916666666666667,0.17833333333333337,0.44,0.36499999999999994,0.33166666666666667,0.3308333333333333,0.08533593746026476,17,0.37562500000000004,0.18145833333333333,0.4325,0.368125,0.35875,0.34329166666666666,0.08491083967577076
74,225.45353808403016,23.80853938229641,0.16854987144470215,0.004678663958712108,k-means++,10000,4,20,4,"{'cls__init': 'k-means++', 'cls__max_iter': 10000, 'cls__n_clusters': 4, 'cls__n_init': 20, 'cls__n_jobs': 4}",0.2783333333333333,0.2833333333333333,0.30083333333333334,0.21083333333333337,0.23333333333333334,0.2613333333333333,0.03366749173906484,26,0.29041666666666666,0.309375,0.30291666666666667,0.201875,0.205,0.2619166666666667,0.04814572064749542
75,241.23234457969664,25.464437601093145,0.16917829513549804,0.00739272054478569,k-means++,10000,5,20,4,"{'cls__init': 'k-means++', 'cls__max_iter': 10000, 'cls__n_clusters': 5, 'cls__n_init': 20, 'cls__n_jobs': 4}",0.20583333333333334,0.06833333333333333,0.3591666666666667,0.35500000000000004,0.2775,0.25316666666666665,0.10826074491194346,29,0.196875,0.07270833333333333,0.3554166666666666,0.36354166666666665,0.29020833333333335,0.25575000000000003,0.10927980778208243
76,264.2604621887207,23.31658338712558,0.16378626823425294,0.006381806202402987,k-means++,10000,6,20,4,"{'cls__init': 'k-means++', 'cls__max_iter': 10000, 'cls__n_clusters': 6, 'cls__n_init': 20, 'cls__n_jobs': 4}",0.07916666666666666,0.2475,0.16333333333333333,0.2833333333333333,0.2733333333333333,0.20933333333333334,0.0775732628623491,38,0.07666666666666666,0.26229166666666665,0.14479166666666668,0.2658333333333333,0.2791666666666667,0.20575000000000002,0.08071604463247137
77,233.36164984703063,25.69009622713449,0.16629447937011718,0.00572255987521328,k-means++,10000,7,20,4,"{'cls__init': 'k-means++', 'cls__max_iter': 10000, 'cls__n_clusters': 7, 'cls__n_init': 20, 'cls__n_jobs': 4}",0.2125,0.3283333333333333,0.10083333333333332,0.23333333333333334,0.08416666666666667,0.19183333333333333,0.09017174970268929,40,0.24229166666666666,0.3260416666666667,0.104375,0.25416666666666665,0.07270833333333333,0.1999166666666667,0.0958711519581244
78,262.7593707561493,18.2210313826853,0.17664051055908203,0.020067518506452445,k-means++,10000,8,20,4,"{'cls__init': 'k-means++', 'cls__max_iter': 10000, 'cls__n_clusters': 8, 'cls__n_init': 20, 'cls__n_jobs': 4}",0.22,0.21333333333333337,0.2175,0.115,0.08416666666666667,0.17,0.05835475797034702,44,0.23833333333333334,0.22645833333333334,0.22979166666666667,0.113125,0.09354166666666666,0.18025,0.06322556620720943
79,242.55113291740417,11.847707350109443,0.1703648090362549,0.006014868320429992,k-means++,10000,9,20,4,"{'cls__init': 'k-means++', 'cls__max_iter': 10000, 'cls__n_clusters': 9, 'cls__n_init': 20, 'cls__n_jobs': 4}",0.07583333333333334,0.21416666666666667,0.20000000000000004,0.060833333333333336,0.10499999999999998,0.13116666666666665,0.0637499455337458,61,0.066875,0.22729166666666667,0.21458333333333332,0.06375,0.10625,0.13574999999999998,0.07126371700319252
80,262.75123023986816,26.813195726377288,0.17161660194396972,0.008456936549471645,k-means++,10000,10,20,4,"{'cls__init': 'k-means++', 'cls__max_iter': 10000, 'cls__n_clusters': 10, 'cls__n_init': 20, 'cls__n_jobs': 4}",0.13,0.18416666666666667,0.049166666666666664,0.085,0.185,0.12666666666666668,0.05378196723809943,64,0.11416666666666667,0.19666666666666666,0.05374999999999999,0.07645833333333334,0.199375,0.12808333333333333,0.06028338747578437
81,258.44994087219237,17.90344923479479,0.17100558280944825,0.004561711825570187,k-means++,10000,11,20,4,"{'cls__init': 'k-means++', 'cls__max_iter': 10000, 'cls__n_clusters': 11, 'cls__n_init': 20, 'cls__n_jobs': 4}",0.035,0.13083333333333333,0.065,0.085,0.175,0.09816666666666667,0.04946491461407547,82,0.036875,0.139375,0.06833333333333333,0.08083333333333333,0.19020833333333334,0.103125,0.05476131922564808
